"Division","School","Subgroup","Percent.Below.10","Percent.above.10"
"Accomack County Public Schools","Accawmacke Elementary","All Students",89.2,10.8
"Accomack County Public Schools","Accawmacke Elementary","Asian",100,0
"Accomack County Public Schools","Accawmacke Elementary","Black",87.5,12.5
"Accomack County Public Schools","Accawmacke Elementary","Economically Disadvantaged",88.1,11.9
"Accomack County Public Schools","Accawmacke Elementary","English Learners",94.3,5.7
"Accomack County Public Schools","Accawmacke Elementary","Female",88.3,11.7
"Accomack County Public Schools","Accawmacke Elementary","Hispanic",92.6,7.4
"Accomack County Public Schools","Accawmacke Elementary","Homeless",NA,NA
"Accomack County Public Schools","Accawmacke Elementary","Male",90.1,9.9
"Accomack County Public Schools","Accawmacke Elementary","Multiple Races",100,0
"Accomack County Public Schools","Accawmacke Elementary","Native Hawaiian",NA,NA
"Accomack County Public Schools","Accawmacke Elementary","Students with Disabilities",82.5,17.5
"Accomack County Public Schools","Accawmacke Elementary","White",87.4,12.6
"Accomack County Public Schools","Arcadia High","All Students",86.7,13.3
"Accomack County Public Schools","Arcadia High","Asian",100,0
"Accomack County Public Schools","Arcadia High","Black",87,13
"Accomack County Public Schools","Arcadia High","Economically Disadvantaged",86.1,13.9
"Accomack County Public Schools","Arcadia High","English Learners",88.1,11.9
"Accomack County Public Schools","Arcadia High","Female",84.8,15.2
"Accomack County Public Schools","Arcadia High","Hispanic",90.2,9.8
"Accomack County Public Schools","Arcadia High","Homeless",NA,NA
"Accomack County Public Schools","Arcadia High","Male",88.4,11.6
"Accomack County Public Schools","Arcadia High","Multiple Races",71.4,28.6
"Accomack County Public Schools","Arcadia High","Students with Disabilities",83.8,16.2
"Accomack County Public Schools","Arcadia High","White",83.4,16.6
"Accomack County Public Schools","Arcadia Middle ","All Students",97.2,2.8
"Accomack County Public Schools","Arcadia Middle ","Asian",100,0
"Accomack County Public Schools","Arcadia Middle ","Black",96.2,3.8
"Accomack County Public Schools","Arcadia Middle ","Economically Disadvantaged",96.7,3.3
"Accomack County Public Schools","Arcadia Middle ","English Learners",99.3,0.7
"Accomack County Public Schools","Arcadia Middle ","Female",98.4,1.6
"Accomack County Public Schools","Arcadia Middle ","Hispanic",99.4,0.6
"Accomack County Public Schools","Arcadia Middle ","Homeless",NA,NA
"Accomack County Public Schools","Arcadia Middle ","Male",96.1,3.9
"Accomack County Public Schools","Arcadia Middle ","Multiple Races",100,0
"Accomack County Public Schools","Arcadia Middle ","Students with Disabilities",90.8,9.2
"Accomack County Public Schools","Arcadia Middle ","White",96.2,3.8
"Accomack County Public Schools","Chincoteague Elementary","All Students",90.2,9.8
"Accomack County Public Schools","Chincoteague Elementary","Asian",66.7,33.3
"Accomack County Public Schools","Chincoteague Elementary","Black",78.8,21.2
"Accomack County Public Schools","Chincoteague Elementary","Economically Disadvantaged",82.9,17.1
"Accomack County Public Schools","Chincoteague Elementary","English Learners",100,0
"Accomack County Public Schools","Chincoteague Elementary","Female",89.7,10.3
"Accomack County Public Schools","Chincoteague Elementary","Hispanic",80,20
"Accomack County Public Schools","Chincoteague Elementary","Homeless",NA,NA
"Accomack County Public Schools","Chincoteague Elementary","Male",90.7,9.3
"Accomack County Public Schools","Chincoteague Elementary","Multiple Races",100,0
"Accomack County Public Schools","Chincoteague Elementary","Students with Disabilities",93.9,6.1
"Accomack County Public Schools","Chincoteague Elementary","White",93,7
"Accomack County Public Schools","Chincoteague High","All Students",84.1,15.9
"Accomack County Public Schools","Chincoteague High","American Indian",NA,NA
"Accomack County Public Schools","Chincoteague High","Asian",0,100
"Accomack County Public Schools","Chincoteague High","Black",72.5,27.5
"Accomack County Public Schools","Chincoteague High","Economically Disadvantaged",75.4,24.6
"Accomack County Public Schools","Chincoteague High","English Learners",100,0
"Accomack County Public Schools","Chincoteague High","Female",82.6,17.4
"Accomack County Public Schools","Chincoteague High","Hispanic",81.8,18.2
"Accomack County Public Schools","Chincoteague High","Homeless",NA,NA
"Accomack County Public Schools","Chincoteague High","Male",85.4,14.6
"Accomack County Public Schools","Chincoteague High","Multiple Races",100,0
"Accomack County Public Schools","Chincoteague High","Native Hawaiian",NA,NA
"Accomack County Public Schools","Chincoteague High","Students with Disabilities",80.4,19.6
"Accomack County Public Schools","Chincoteague High","White",86.3,13.7
"Accomack County Public Schools","Kegotank Elementary","All Students",86.1,13.9
"Accomack County Public Schools","Kegotank Elementary","American Indian",NA,NA
"Accomack County Public Schools","Kegotank Elementary","Black",88.9,11.1
"Accomack County Public Schools","Kegotank Elementary","Economically Disadvantaged",85.3,14.7
"Accomack County Public Schools","Kegotank Elementary","English Learners",94.2,5.8
"Accomack County Public Schools","Kegotank Elementary","Female",89.1,10.9
"Accomack County Public Schools","Kegotank Elementary","Hispanic",92,8
"Accomack County Public Schools","Kegotank Elementary","Homeless",NA,NA
"Accomack County Public Schools","Kegotank Elementary","Male",83.3,16.7
"Accomack County Public Schools","Kegotank Elementary","Multiple Races",80,20
"Accomack County Public Schools","Kegotank Elementary","Native Hawaiian",NA,NA
"Accomack County Public Schools","Kegotank Elementary","Students with Disabilities",82,18
"Accomack County Public Schools","Kegotank Elementary","White",81.2,18.8
