"Division","Sch.Name","English: Reading_All Students","History and Social Sciences_All Students","Mathematics_All Students","Science_All Students","English: Reading_Asian","History and Social Sciences_Asian","Mathematics_Asian","Science_Asian","English: Reading_Black","History and Social Sciences_Black","Mathematics_Black","Science_Black","English: Reading_Economically Disadvantaged","History and Social Sciences_Economically Disadvantaged","Mathematics_Economically Disadvantaged","Science_Economically Disadvantaged","English: Reading_English Learners","History and Social Sciences_English Learners","Mathematics_English Learners","Science_English Learners","English: Reading_Female","History and Social Sciences_Female","Mathematics_Female","Science_Female","English: Reading_Hispanic","History and Social Sciences_Hispanic","Mathematics_Hispanic","Science_Hispanic","English: Reading_Male","History and Social Sciences_Male","Mathematics_Male","Science_Male","English: Reading_Students with Disabilities","History and Social Sciences_Students with Disabilities","Mathematics_Students with Disabilities","Science_Students with Disabilities","English: Reading_White","History and Social Sciences_White","Mathematics_White","Science_White","English: Writing_All Students","English: Writing_Asian","English: Writing_Black","English: Writing_Economically Disadvantaged","English: Writing_English Learners","English: Writing_Female","English: Writing_Hispanic","English: Writing_Male","English: Writing_Students with Disabilities","English: Writing_White"
"York County Public Schools","Coventry Elementary",90,94,96,94,88,92,98,100,77,92,89,86,83,75,91,100,55,67,91,NA,89,95,96,95,87,90,100,75,90,93,96,94,77,90,76,82,92,96,96,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Mount Vernon Elementary ",93,94,93,92,94,86,95,NA,87,63,87,100,75,100,82,63,45,NA,93,NA,92,94,92,86,86,100,95,88,93,94,95,98,78,79,83,70,93,97,95,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Yorktown Middle",83,87,90,81,78,NA,84,NA,67,74,77,66,69,77,78,67,29,NA,75,NA,86,87,91,82,80,68,87,73,78,87,88,80,46,47,62,44,85,91,92,85,71,NA,56,53,NA,78,55,62,36,76
"York County Public Schools","Tabb Elementary",92,90,98,95,95,100,100,100,86,76,95,93,85,72,97,81,83,NA,100,NA,93,94,98,94,94,93,100,92,90,87,97,96,81,47,89,94,92,94,98,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","York River Academy",86,68,83,95,NA,NA,NA,NA,NA,NA,NA,NA,83,60,NA,100,NA,NA,NA,NA,80,50,67,90,NA,NA,NA,NA,91,75,89,96,77,69,86,91,83,67,86,94,77,NA,NA,71,NA,80,NA,75,69,74
"York County Public Schools","Grafton Middle",87,92,93,88,90,100,100,88,78,88,88,72,78,83,90,80,39,NA,88,29,89,91,95,84,87,94,87,89,86,93,92,92,55,60,64,46,88,92,95,89,82,100,63,68,NA,85,92,80,24,81
"York County Public Schools","Grafton High",95,91,91,92,92,94,95,92,100,81,87,86,82,76,83,85,20,45,100,54,95,91,93,92,91,88,88,90,95,91,89,92,77,56,63,64,95,93,92,95,92,94,91,77,50,94,84,90,55,92
"York County Public Schools","York High",90,87,93,91,100,85,100,89,87,68,90,75,81,69,84,77,NA,60,83,83,94,84,93,92,91,87,83,94,87,89,92,91,64,59,75,69,92,90,95,94,86,100,83,73,NA,92,88,81,54,86
"York County Public Schools","Tabb High",94,86,89,93,85,84,96,97,94,71,84,87,92,72,84,87,40,69,69,89,96,86,91,94,93,83,89,90,93,86,87,93,67,50,79,69,97,91,90,97,94,90,91,89,40,97,93,91,59,97
"York County Public Schools","Waller Mill Elementary",93,86,93,94,NA,NA,NA,NA,80,44,75,100,79,64,75,NA,86,NA,71,NA,95,79,90,96,92,100,77,NA,92,92,94,92,75,64,75,67,95,91,97,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Yorktown Elementary",81,82,88,88,100,NA,100,NA,60,58,61,60,64,62,71,70,71,NA,86,NA,82,86,86,87,84,90,97,91,80,79,89,89,55,75,65,60,89,89,97,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Queens Lake Middle",84,82,87,82,81,80,81,100,73,64,75,64,67,72,73,67,30,NA,80,NA,88,81,88,81,77,71,79,76,80,82,85,82,44,55,58,50,90,92,92,88,73,100,44,43,NA,79,78,68,38,84
"York County Public Schools","Bruton High",86,81,86,86,88,92,100,92,80,58,62,72,79,67,75,76,NA,NA,NA,NA,91,84,92,92,88,80,85,72,82,78,80,80,65,41,49,45,87,85,92,91,84,100,71,76,NA,94,93,77,57,88
"York County Public Schools","Tabb Middle",91,95,96,91,94,100,98,100,81,86,92,76,82,86,94,81,88,100,100,88,92,95,97,92,93,86,94,86,89,94,96,91,63,77,78,67,92,97,98,95,81,100,69,75,100,89,74,75,43,84
"York County Public Schools","Bethel Manor Elementary",89,88,94,89,89,NA,89,NA,90,73,95,71,86,82,94,91,67,NA,67,NA,89,93,94,88,84,92,95,89,89,82,93,91,66,75,73,64,92,93,96,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Seaford Elementary",92,93,94,87,82,NA,92,NA,83,88,78,NA,89,100,93,72,40,NA,60,NA,94,95,93,81,85,100,93,90,90,92,95,93,62,58,68,60,94,92,96,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Dare Elementary",83,90,93,91,71,NA,86,NA,85,NA,85,80,73,77,92,78,63,NA,88,NA,81,90,92,95,63,50,90,92,85,89,94,88,36,14,82,40,90,95,97,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Grafton Bethel Elementary",84,87,93,88,95,100,100,100,75,57,95,100,69,71,85,73,78,NA,100,NA,84,85,92,86,85,100,93,71,84,89,94,92,65,64,76,71,85,91,93,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"York County Public Schools","Magruder Elementary",85,85,91,84,100,NA,100,NA,76,73,82,58,76,77,86,78,50,NA,92,NA,88,85,90,85,79,81,89,72,82,85,94,83,61,57,66,82,89,92,95,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Fort Chiswell High",91,91,96,90,NA,NA,NA,NA,NA,NA,NA,80,83,86,99,84,NA,NA,NA,NA,98,89,98,90,NA,NA,NA,NA,86,93,94,90,61,88,88,76,92,92,96,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Sheffey Elementary",91,93,95,89,NA,NA,NA,NA,NA,NA,NA,NA,87,100,93,85,NA,NA,NA,NA,92,92,92,88,NA,NA,NA,NA,90,93,99,91,77,80,92,75,91,92,95,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wythe County Public Schools","Jackson Memorial Elementary",86,95,87,97,NA,NA,NA,NA,NA,NA,NA,NA,81,89,81,100,NA,NA,NA,NA,94,100,91,100,NA,NA,NA,NA,79,90,83,93,57,86,50,NA,85,95,86,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
