"Div.Name","Sch.Name","Subject","All Students","Asian","Black","Economically Disadvantaged","English Learners","Female","Hispanic","Male","Students with Disabilities","White"
"York County ","Coventry Elementary","English: Reading",90,88,77,83,55,89,87,90,77,92
"York County ","Coventry Elementary","History and Social Sciences",94,92,92,75,67,95,90,93,90,96
"York County ","Coventry Elementary","Mathematics",96,98,89,91,91,96,100,96,76,96
"York County ","Coventry Elementary","Science",94,100,86,100,NA,95,75,94,82,97
"York County ","Mount Vernon Elementary ","English: Reading",93,94,87,75,45,92,86,93,78,93
"York County ","Mount Vernon Elementary ","History and Social Sciences",94,86,63,100,NA,94,100,94,79,97
"York County ","Mount Vernon Elementary ","Mathematics",93,95,87,82,93,92,95,95,83,95
"York County ","Mount Vernon Elementary ","Science",92,NA,100,63,NA,86,88,98,70,92
"York County ","Yorktown Middle","English: Reading",83,78,67,69,29,86,80,78,46,85
"York County ","Yorktown Middle","English: Writing",71,NA,56,53,NA,78,55,62,36,76
"York County ","Yorktown Middle","History and Social Sciences",87,NA,74,77,NA,87,68,87,47,91
"York County ","Yorktown Middle","Mathematics",90,84,77,78,75,91,87,88,62,92
"York County ","Yorktown Middle","Science",81,NA,66,67,NA,82,73,80,44,85
"York County ","Tabb Elementary","English: Reading",92,95,86,85,83,93,94,90,81,92
"York County ","Tabb Elementary","History and Social Sciences",90,100,76,72,NA,94,93,87,47,94
"York County ","Tabb Elementary","Mathematics",98,100,95,97,100,98,100,97,89,98
"York County ","Tabb Elementary","Science",95,100,93,81,NA,94,92,96,94,94
"York County ","York River Academy","English: Reading",86,NA,NA,83,NA,80,NA,91,77,83
"York County ","York River Academy","English: Writing",77,NA,NA,71,NA,80,NA,75,69,74
"York County ","York River Academy","History and Social Sciences",68,NA,NA,60,NA,50,NA,75,69,67
"York County ","York River Academy","Mathematics",83,NA,NA,NA,NA,67,NA,89,86,86
"York County ","York River Academy","Science",95,NA,NA,100,NA,90,NA,96,91,94
"York County ","Grafton Middle","English: Reading",87,90,78,78,39,89,87,86,55,88
"York County ","Grafton Middle","English: Writing",82,100,63,68,NA,85,92,80,24,81
"York County ","Grafton Middle","History and Social Sciences",92,100,88,83,NA,91,94,93,60,92
"York County ","Grafton Middle","Mathematics",93,100,88,90,88,95,87,92,64,95
"York County ","Grafton Middle","Science",88,88,72,80,29,84,89,92,46,89
"York County ","Grafton High","English: Reading",95,92,100,82,20,95,91,95,77,95
"York County ","Grafton High","English: Writing",92,94,91,77,50,94,84,90,55,92
"York County ","Grafton High","History and Social Sciences",91,94,81,76,45,91,88,91,56,93
"York County ","Grafton High","Mathematics",91,95,87,83,100,93,88,89,63,92
"York County ","Grafton High","Science",92,92,86,85,54,92,90,92,64,95
"York County ","York High","English: Reading",90,100,87,81,NA,94,91,87,64,92
"York County ","York High","English: Writing",86,100,83,73,NA,92,88,81,54,86
"York County ","York High","History and Social Sciences",87,85,68,69,60,84,87,89,59,90
"York County ","York High","Mathematics",93,100,90,84,83,93,83,92,75,95
"York County ","York High","Science",91,89,75,77,83,92,94,91,69,94
"York County ","Tabb High","English: Reading",94,85,94,92,40,96,93,93,67,97
"York County ","Tabb High","English: Writing",94,90,91,89,40,97,93,91,59,97
"York County ","Tabb High","History and Social Sciences",86,84,71,72,69,86,83,86,50,91
"York County ","Tabb High","Mathematics",89,96,84,84,69,91,89,87,79,90
"York County ","Tabb High","Science",93,97,87,87,89,94,90,93,69,97
"York County ","Waller Mill Elementary","English: Reading",93,NA,80,79,86,95,92,92,75,95
"York County ","Waller Mill Elementary","History and Social Sciences",86,NA,44,64,NA,79,100,92,64,91
"York County ","Waller Mill Elementary","Mathematics",93,NA,75,75,71,90,77,94,75,97
"York County ","Waller Mill Elementary","Science",94,NA,100,NA,NA,96,NA,92,67,96
"York County ","Yorktown Elementary","English: Reading",81,100,60,64,71,82,84,80,55,89
"York County ","Yorktown Elementary","History and Social Sciences",82,NA,58,62,NA,86,90,79,75,89
"York County ","Yorktown Elementary","Mathematics",88,100,61,71,86,86,97,89,65,97
"York County ","Yorktown Elementary","Science",88,NA,60,70,NA,87,91,89,60,98
"York County ","Queens Lake Middle","English: Reading",84,81,73,67,30,88,77,80,44,90
"York County ","Queens Lake Middle","English: Writing",73,100,44,43,NA,79,78,68,38,84
"York County ","Queens Lake Middle","History and Social Sciences",82,80,64,72,NA,81,71,82,55,92
"York County ","Queens Lake Middle","Mathematics",87,81,75,73,80,88,79,85,58,92
"York County ","Queens Lake Middle","Science",82,100,64,67,NA,81,76,82,50,88
"York County ","Bruton High","English: Reading",86,88,80,79,NA,91,88,82,65,87
"York County ","Bruton High","English: Writing",84,100,71,76,NA,94,93,77,57,88
"York County ","Bruton High","History and Social Sciences",81,92,58,67,NA,84,80,78,41,85
"York County ","Bruton High","Mathematics",86,100,62,75,NA,92,85,80,49,92
"York County ","Bruton High","Science",86,92,72,76,NA,92,72,80,45,91
"York County ","Tabb Middle","English: Reading",91,94,81,82,88,92,93,89,63,92
"York County ","Tabb Middle","English: Writing",81,100,69,75,100,89,74,75,43,84
"York County ","Tabb Middle","History and Social Sciences",95,100,86,86,100,95,86,94,77,97
"York County ","Tabb Middle","Mathematics",96,98,92,94,100,97,94,96,78,98
