"Year","Division","School","Total.Per.Pupil.Expenditures"
"2018 - 2019","Sussex County Public Schools","Sussex Central Elementary",15838
"2018 - 2019","Sussex County Public Schools","Sussex Central High",16261
"2018 - 2019","Sussex County Public Schools","Sussex Central Middle",18329
"2018 - 2019","Surry County Public Schools","Surry County High",23877
"2018 - 2019","Surry County Public Schools","Surry Elementary",17497
"2018 - 2019","Surry County Public Schools","Luther P. Jackson Middle",19833
"2018 - 2019","Arlington County Public Schools","Washington-Liberty High",16500
"2018 - 2019","Arlington County Public Schools","Wakefield High",17014
"2018 - 2019","Arlington County Public Schools","Yorktown High",16190
"2018 - 2019","Arlington County Public Schools","Williamsburg Middle",17287
"2018 - 2019","Arlington County Public Schools","Swanson Middle",17325
"2018 - 2019","Arlington County Public Schools","Jefferson Middle",19001
"2018 - 2019","Arlington County Public Schools","Gunston Middle",18512
"2018 - 2019","Arlington County Public Schools","Kenmore Middle",19848
"2018 - 2019","Arlington County Public Schools","Dr. Charles R. Drew Elementary",20864
"2018 - 2019","Arlington County Public Schools","Ashlawn Elementary",18004
"2018 - 2019","Arlington County Public Schools","Oakridge Elementary",17526
"2018 - 2019","Arlington County Public Schools","Escuela Key Elementary",18844
"2018 - 2019","Arlington County Public Schools","Claremont Immersion",17682
"2018 - 2019","Arlington County Public Schools","Carlin Springs Elementary",20615
"2018 - 2019","Arlington County Public Schools","Long Branch Elementary",20037
"2018 - 2019","Arlington County Public Schools","Abingdon Elementary",18911
"2018 - 2019","Arlington County Public Schools","Alice West Fleet Elementary",19939
"2018 - 2019","Arlington County Public Schools","Cardinal Elementary",16092
"2018 - 2019","Arlington County Public Schools","Taylor Elementary",18212
"2018 - 2019","Arlington County Public Schools","Hoffman-Boston Elementary",21652
"2018 - 2019","Arlington County Public Schools","Barrett Elementary",20408
"2018 - 2019","Arlington County Public Schools","Innovation Elementary ",17079
"2018 - 2019","Arlington County Public Schools","Jamestown Elementary",17464
"2018 - 2019","Arlington County Public Schools","Glebe Elementary",18815
"2018 - 2019","Arlington County Public Schools","Barcroft Elementary",23998
"2018 - 2019","Arlington County Public Schools","Discovery Elementary",17451
"2018 - 2019","Arlington County Public Schools","Arlington Traditional",18384
"2018 - 2019","Arlington County Public Schools","Randolph Elementary",21924
"2018 - 2019","Arlington County Public Schools","Tuckahoe Elementary",18495
"2018 - 2019","Arlington County Public Schools","Nottingham Elementary",18817
"2018 - 2019","Arlington County Public Schools","Campbell Elementary",20148
"2018 - 2019","Arlington County Public Schools","Arlington Community High",7252
"2018 - 2019","Charlottesville City Public Schools","Charlottesville High",16008
"2018 - 2019","Charlottesville City Public Schools","Walker Upper Elementary",16012
"2018 - 2019","Charlottesville City Public Schools","Buford Middle",16867
"2018 - 2019","Charlottesville City Public Schools","Greenbrier Elementary",15752
"2018 - 2019","Charlottesville City Public Schools","Burnley-Moran Elementary",15231
"2018 - 2019","Charlottesville City Public Schools","Jackson-Via Elementary",16423
"2018 - 2019","Charlottesville City Public Schools","Clark Elementary",17670
"2018 - 2019","Charlottesville City Public Schools","Venable Elementary",16257
"2018 - 2019","Charlottesville City Public Schools","Johnson Elementary",14775
"2018 - 2019","Falls Church City Public Schools","Meridian High",21245
"2018 - 2019","Falls Church City Public Schools","Oak Street Elementary",16811
"2018 - 2019","Falls Church City Public Schools","Mary Ellen Henderson Middle",18275
"2018 - 2019","Falls Church City Public Schools","Mount Daniel Elementary",21184
"2018 - 2019","Charles City County Public Schools","Charles City County Elementary",15734
"2018 - 2019","Charles City County Public Schools","Charles City County High",15067
"2018 - 2019","Fairfax County Public Schools","Key Center",46259
"2018 - 2019","Fairfax County Public Schools","Kilmer Center",42328
"2018 - 2019","Fairfax County Public Schools","Mountain View High",29786
"2018 - 2019","Fairfax County Public Schools","Bryant High",24745
"2018 - 2019","Fairfax County Public Schools","Bucknell Elementary",23084
"2018 - 2019","Fairfax County Public Schools","Armstrong Elementary",20271
"2018 - 2019","Fairfax County Public Schools","Olde Creek Elementary",20003
"2018 - 2019","Fairfax County Public Schools","Little Run Elementary",18883
"2018 - 2019","Fairfax County Public Schools","North Springfield Elementary",18791
"2018 - 2019","Fairfax County Public Schools","Forestdale Elementary",18959
