"Division","Subgroup","School","Virginia.On.Time.Graduation.Rate","Completion.Rate"
"Accomack County Public Schools","All Students","Arcadia High",84,88
"Accomack County Public Schools","Black","Arcadia High",88.4,89.9
"Accomack County Public Schools","Economically Disadvantaged","Arcadia High",75.6,83.3
"Accomack County Public Schools","English Learners","Arcadia High",75.9,79.3
"Accomack County Public Schools","Female","Arcadia High",89.5,90.7
"Accomack County Public Schools","Hispanic","Arcadia High",84.1,84.1
"Accomack County Public Schools","Male","Arcadia High",78.7,85.4
"Accomack County Public Schools","Students with Disabilities","Arcadia High",77.8,100
"Accomack County Public Schools","White","Arcadia High",80.7,87.7
"Accomack County Public Schools","All Students","Chincoteague High",96.4,96.4
"Accomack County Public Schools","Economically Disadvantaged","Chincoteague High",93.8,93.8
"Accomack County Public Schools","Female","Chincoteague High",94.7,94.7
"Accomack County Public Schools","Male","Chincoteague High",97.2,97.2
"Accomack County Public Schools","White","Chincoteague High",97.7,97.7
"Accomack County Public Schools","All Students","Nandua High",92,92
"Accomack County Public Schools","Black","Nandua High",90.4,90.4
"Accomack County Public Schools","Economically Disadvantaged","Nandua High",85,85
"Accomack County Public Schools","English Learners","Nandua High",94.1,94.1
"Accomack County Public Schools","Female","Nandua High",98.7,98.7
"Accomack County Public Schools","Hispanic","Nandua High",95.8,95.8
"Accomack County Public Schools","Male","Nandua High",85.9,85.9
"Accomack County Public Schools","Students with Disabilities","Nandua High",95.2,95.2
"Accomack County Public Schools","White","Nandua High",92.1,92.1
"Albemarle County Public Schools","All Students","Albemarle High",92,92.6
"Albemarle County Public Schools","Asian","Albemarle High",88.4,88.4
"Albemarle County Public Schools","Black","Albemarle High",95.9,95.9
"Albemarle County Public Schools","Economically Disadvantaged","Albemarle High",87.8,88.5
"Albemarle County Public Schools","English Learners","Albemarle High",62.3,62.3
"Albemarle County Public Schools","Female","Albemarle High",93.4,93.9
"Albemarle County Public Schools","Hispanic","Albemarle High",76,76
"Albemarle County Public Schools","Male","Albemarle High",90.7,91.5
"Albemarle County Public Schools","Military Connected","Albemarle High",100,100
"Albemarle County Public Schools","Multiple Races","Albemarle High",93.8,96.9
