"Division","School","Virginia.On.Time.Graduation.Rate_All Students","Virginia.On.Time.Graduation.Rate_Black","Virginia.On.Time.Graduation.Rate_Economically Disadvantaged","Virginia.On.Time.Graduation.Rate_English Learners","Virginia.On.Time.Graduation.Rate_Female","Virginia.On.Time.Graduation.Rate_Hispanic","Virginia.On.Time.Graduation.Rate_Male","Virginia.On.Time.Graduation.Rate_Students with Disabilities","Virginia.On.Time.Graduation.Rate_White","Virginia.On.Time.Graduation.Rate_Asian","Virginia.On.Time.Graduation.Rate_Military Connected","Virginia.On.Time.Graduation.Rate_Multiple Races","Virginia.On.Time.Graduation.Rate_Homeless","Virginia.On.Time.Graduation.Rate_Foster Care","Completion.Rate_All Students","Completion.Rate_Black","Completion.Rate_Economically Disadvantaged","Completion.Rate_English Learners","Completion.Rate_Female","Completion.Rate_Hispanic","Completion.Rate_Male","Completion.Rate_Students with Disabilities","Completion.Rate_White","Completion.Rate_Asian","Completion.Rate_Military Connected","Completion.Rate_Multiple Races","Completion.Rate_Homeless","Completion.Rate_Foster Care"
"Accomack County Public Schools","Arcadia High",84,88.4,75.6,75.9,89.5,84.1,78.7,77.8,80.7,NA,NA,NA,NA,NA,88,89.9,83.3,79.3,90.7,84.1,85.4,100,87.7,NA,NA,NA,NA,NA
"Accomack County Public Schools","Chincoteague High",96.4,NA,93.8,NA,94.7,NA,97.2,NA,97.7,NA,NA,NA,NA,NA,96.4,NA,93.8,NA,94.7,NA,97.2,NA,97.7,NA,NA,NA,NA,NA
"Accomack County Public Schools","Nandua High",92,90.4,85,94.1,98.7,95.8,85.9,95.2,92.1,NA,NA,NA,NA,NA,92,90.4,85,94.1,98.7,95.8,85.9,95.2,92.1,NA,NA,NA,NA,NA
"Albemarle County Public Schools","Albemarle High",92,95.9,87.8,62.3,93.4,76,90.7,90.7,95.8,88.4,100,93.8,NA,NA,92.6,95.9,88.5,62.3,93.9,76,91.5,92.6,96.6,88.4,100,96.9,NA,NA
"Albemarle County Public Schools","Community Lab School",95.2,NA,NA,NA,100,NA,90,NA,92.9,NA,NA,NA,NA,NA,95.2,NA,NA,NA,100,NA,90,NA,92.9,NA,NA,NA,NA,NA
"Albemarle County Public Schools","Monticello High",90.7,100,86.2,75,91.4,74.4,89.9,84.2,92.4,NA,NA,92.9,NA,NA,91.3,100,87.2,75,92.1,76.7,90.6,86.8,92.9,NA,NA,92.9,NA,NA
"Albemarle County Public Schools","Western Albemarle High",99,NA,97.4,NA,98.6,100,99.3,96.4,99.2,NA,NA,100,NA,NA,100,NA,100,NA,100,100,100,100,100,NA,NA,100,NA,NA
"Alexandria City Public Schools","Alexandria City High",82.1,92.3,78,70.9,87.1,68.8,78,93.2,97.2,96,92.9,100,83.3,NA,83.7,93.4,80.2,71.5,89,71.3,79.4,94.3,97.7,96,92.9,100,83.3,NA
"Alleghany County Public Schools","Alleghany High",97.4,NA,93.7,NA,97.3,NA,97.4,93.8,97,NA,NA,100,NA,NA,97.4,NA,93.7,NA,97.3,NA,97.4,93.8,97,NA,NA,100,NA,NA
"Amelia County Public Schools","Amelia County High",97.8,97.1,98.5,NA,98.2,100,97.5,100,97.8,NA,NA,NA,NA,NA,97.8,97.1,98.5,NA,98.2,100,97.5,100,97.8,NA,NA,NA,NA,NA
