"School.Name","Principal","Grades","Division.Schools","Street.Adress.and.Phone.Number","Phone.Number","City","Zip","State"
"A. Henderson Elementary","Amy Schott","KG-5","Prince William County Public Schools","3799 Waterway Dr","703-670-2885","Dumfries","22025","VA"
"A.G. Richardson Elementary","Ms. Temesha Dabney","PK-5","Culpeper County Public Schools","18370 Simms Dr","540-825-0616","Culpeper","22701","VA"
"A.M. Davis Elementary","Kenya Batts","PK-5","Chesterfield County Public Schools","415 S Providence Rd","804-674-1310","North Chesterfield","23236-3343","VA"
"A.S. Rhodes Elementary","Mrs. Lori A. Layman","KG-5","Warren County Public Schools","224 W Strasburg Rd","540-635-4556","Front Royal","22630","VA"
"A.W.E. Bassette Elementary","Ms. Shelly R. Spain","PK-5","Hampton Public Schools","671 Bell St","757-727-1071","Hampton","23661","VA"
"Abb's Valley-Boissevain Elementary","Shawn Ross","PK-5","Tazewell County Public Schools","7030 Abb's Valley Road","276-945-5969","Bluefield","24605-0000","VA"
"Aberdeen Elementary","Ms. Tiffany Geddie-Suggs","PK-5","Hampton Public Schools","1424 Aberdeen Rd","757-825-4624","Hampton","23666","VA"
"Abingdon Elementary","David Horak","PK-5","Arlington County Public Schools","3035 S Abingdon St","703-228-6650","Arlington","22206","VA"
"Abingdon Elementary","Ms. Anna Harwood","PK-5","Gloucester County Public Schools","7087 Powhatan Drive","804-642-9885","Hayes","23072","VA"
"Abingdon Elementary","Ms. Amanda Yarber","PK-5","Washington County Public Schools","19431 Woodland Hills Rd","276-739-3400","Abingdon","24210","VA"
"Abingdon High","Mr. Bobby J Lasley","09-12","Washington County Public Schools","705 Thompson Dr","276-739-3200","Abingdon","24210","VA"
"Academy for Discovery at Lakewood","Abbie Watson","06-08","Norfolk Public Schools","1701 Alsace Ave","757-628-2477","Norfolk","23509","VA"
"Accawmacke Elementary","Mr. Javan Thompson","06-08","Accomack County Public Schools","26230 Drummondtown Rd","757-787-8013","Accomac","23301","VA"
"Achievable Dream Academy","Ms. Terra Chalmers-Harris","09-12","Newport News Public Schools","726 16th St.","757-928-6827","Newport News","23607","VA"
"Achievable Dream Middle/High","Ms. Courtney Mompoint","06-08","Newport News Public Schools","5720 Marshall Ave.","757-283-7820","Newport News","23605","VA"
"Achilles Elementary","Kelley Gray","06-08","Gloucester County Public Schools","9306 Guinea Road","804-642-9140","Hayes","23072","VA"
"Acquinton Elementary","Christina Beasley","06-08","King William County Public Schools","18550 King William Road","804-769-3434","King William","23086","VA"
"Addison Aerospace Magnet Middle","Mr. Jonathan Rosser","06-08","Roanoke Public Schools","1220 5th Street NW","540-853-2681","Roanoke","24016","VA"
"Admiral Richard E. Byrd Middle","Dr. Jessica Nail","06-08","Frederick County Public Schools","134 Rosa Lane","540-662-0500","Winchester","22602","VA"
"Adult Learning Ctr.","Dr. Joey H Phillips","09-12","Virginia Beach Public Schools","5100 Cleveland Street","757-648-6050","Virginia Beach","23462","VA"
"Advanced Career Education Center at Hermitage","Kennith D. King","07-08","Henrico County Public Schools","8301 Hungary Spring Rd","804-756-3020","Richmond","23228","VA"
"Advanced Career Education Center at Highland Springs","Dr. Emily Loving","09-12","Henrico County Public Schools","100 Tech Drive","804-328-4075","Highland Springs","23075","VA"
"Advanced Technology Center","Mr. Michael D. Taylor","08-12","Virginia Beach Public Schools","1800 College Crescent","757-648-5800","Virginia Beach","23453","VA"
"Agnor-Hurt Elementary","Michael Irani","01-02","Albemarle County Public Schools","3201 Berkmar Drive","434-973-5211","Charlottesville","22901-1475","VA"
"Alanton Elementary","Ms. Charlene E. Garran","06-08","Virginia Beach Public Schools","1441 Stephens Rd","757-648-2000","Virginia Beach","23454","VA"
"Albemarle High","Mr. Darah Bonham","09-12","Albemarle County Public Schools","2775 Hydraulic Road","434-975-9300","Charlottesville","22901-8917","VA"
"Albert Harris Elementary","Mrs. Renee Brown","06-08","Martinsville Public Schools","710 Smith Road","276-403-5838","Martinsville","24112","VA"
"Albert Hill Middle","Tashiana Ivy","03-05","Richmond Public Schools","3400 Patterson Ave","804-780-6107","Richmond","23221-2399","VA"
"Albert W. Patrick III Elementary","Ms. Brynne E. Cere","09-12","Hampton Public Schools","160 Apollo Dr","757-850-5096","Hampton","23669","VA"
"Alberta Smith Elementary","Jana Kline","08-12","Chesterfield County Public Schools","13200 Bailey Bridge Rd","804-739-6295","Midlothian","23112-1708","VA"
"ALC at Burke","Mr. Frank A Tranfa","08-12","Fairfax County Public Schools","9645 Burke Lake Road","703-426-7300","Burke","20115","VA"
"ALC at Montrose","Raven Jones","06-08","Fairfax County Public Schools","6525 Montrose St","703-658-5800","Alexandria","22312","VA"
"ALC at Mountain View","Ms. Susan M Lee","06-08","Fairfax County Public Schools","5775 Spindle Ct","571-522-6840","Centreville","20121","VA"
"Aldie Elementary","Tracy Stephens","09-12","Loudoun County Public Schools","23269 Meetinghouse Ln","703-957-4380","Aldie","20105","VA"
"Aldrin Elementary","Shane Wolfe","06-08","Fairfax County Public Schools","11375 Center Harbor Rd","703-904-3800","Reston","20194-2061","VA"
"Alexandria City High","Peter Balas","06-08","Alexandria Public Schools","3330 King St","703-824-6800","Alexandria","22302","VA"
"Alfred S. Forrest Elementary","Ms. Elizabeth J. Cromartie","09-12","Hampton Public Schools","1406 Todds Ln","757-825-4627","Hampton","23666","VA"
"Algonkian Elementary","Brian Blubaugh","05-08","Loudoun County Public Schools","20196 Carter Court","571-434-3240","Sterling","20165","VA"
"Alice West Fleet Elementary","Francis Legagneur","05-07","Arlington County Public Schools","115 S Old Glebe Road","703-228-5820","Arlington","22204","VA"
"Alleghany High","Karen C. Staunton","09-12","Alleghany County Public Schools","210 Mountaineer Drive","540-863-1700","Covington","24426","VA"
"Altavista Elementary","Wendy Thomas","09-12","Campbell County Public Schools","1003 Lynch Mill Rd","434-369-5665","Altavista","24517-1028","VA"
"Altavista High","Mr. Ronald R Proffitt","06-08","Campbell County Public Schools","904 Bedford Avenue","434-369-4768","Altavista","24517","VA"
"Alternative Education Center","Shelly Neibauer","09-12","Fauquier County Public Schools","4484 Catlett Road","540-422-7390","Midland","22728","VA"
"Alternative Education Center","Mrs. Velva Kindley","07-08","Mecklenburg County Public Schools","6825 Skipwith Road","434-738-6111","Skipwith","23968","VA"
"Amelia County Elementary","Lisa Davis","09-12","Amelia County Public Schools","8533 N Five Forks Rd","804-561-2433","Amelia Court House","23002","VA"
"Amelia County High","Dr. John Ringstaff","07-08","Amelia County Public Schools","8500 Otterburn Rd","804-561-2101","Amelia Court House","23002","VA"
"Amelia County Middle","Bobby Shockley","06-08","Amelia County Public Schools","8740 Otterburn Road","804-561-4422","Amelia","23002","VA"
"Amelia Street Special Education","Mark Phillips","06-08","Richmond Public Schools","1821 Amelia St","804-780-6275","Richmond","23220-6696","VA"
"Amelon Elementary","James E Sales Jr","09-12","Amherst County Public Schools","132 Amer Court","434-528-6498","Madison Heights","24572","VA"
"Amherst County High","Mr. Derrick Brown","06-08","Amherst County Public Schools","139 Lancer Lane","434-946-2898","Amherst","24521","VA"
"Amherst Elementary","Jennifer H Crews","09-12","Amherst County Public Schools","156 Davis St","434-946-9704","Amherst","24521","VA"
"Amherst Middle","Kelly Holmes","06-08","Amherst County Public Schools","165 Gordons Fairground Rd","434-946-0691","Amherst","24521","VA"
"Andrew G. Wright Middle","Ms. Carly R. Hegna","06-08","Stafford County Public Schools","100 Wood Dr","540-658-6240","Stafford","22556","VA"
"Andrew Lewis Middle","Mr. James Garst","06-08","Salem Public Schools","616 South College Ave","540-387-2513","Salem","24153-5090","VA"
"Annandale High","Shawn DeRose","09-12","Fairfax County Public Schools","4700 Medford Dr","703-642-4100","Annandale","22003","VA"
"Annandale Terrace Elementary","Lisa Pilson","09-12","Fairfax County Public Schools","7604 Herald St","703-658-5600","Annandale","22003","VA"
"Anne E. Moncure Elementary","Mr. Gregory R. Machi","09-12","Stafford County Public Schools","75 Moncure Lane","540-658-6300","Stafford","22556","VA"
"Anthony Burns Elementary","Ms. Caroline S. Goddard","09-12","Stafford County Public Schools","60 Gallery Road","540-658-6000","Stafford","22554","VA"
"Anthony P. Mehfoud Elementary","Carey D. Fellows","09-12","Henrico County Public Schools","8320 Buffin Rd","804-795-7020","Richmond","23231","VA"
