"Division","School","Year.Percent","Type"
"Accomack County Public Schools","Accawmacke Elementary",47,"Bachelor's Degree"
"Accomack County Public Schools","Accawmacke Elementary",50,"Master's Degree"
"Accomack County Public Schools","Accawmacke Elementary",0,"Doctoral Degree"
"Accomack County Public Schools","Arcadia High",42,"Bachelor's Degree"
"Accomack County Public Schools","Arcadia High",47,"Master's Degree"
"Accomack County Public Schools","Arcadia High",4,"Doctoral Degree"
"Accomack County Public Schools","Arcadia Middle ",58,"Bachelor's Degree"
"Accomack County Public Schools","Arcadia Middle ",42,"Master's Degree"
"Accomack County Public Schools","Arcadia Middle ",0,"Doctoral Degree"
"Accomack County Public Schools","Chincoteague Elementary",70,"Bachelor's Degree"
"Accomack County Public Schools","Chincoteague Elementary",25,"Master's Degree"
"Accomack County Public Schools","Chincoteague Elementary",5,"Doctoral Degree"
"Accomack County Public Schools","Chincoteague High",55,"Bachelor's Degree"
"Accomack County Public Schools","Chincoteague High",45,"Master's Degree"
"Accomack County Public Schools","Chincoteague High",0,"Doctoral Degree"
"Accomack County Public Schools","Kegotank Elementary",63,"Bachelor's Degree"
"Accomack County Public Schools","Kegotank Elementary",35,"Master's Degree"
"Accomack County Public Schools","Kegotank Elementary",0,"Doctoral Degree"
"Accomack County Public Schools","Metompkin Elementary",51,"Bachelor's Degree"
"Accomack County Public Schools","Metompkin Elementary",49,"Master's Degree"
"Accomack County Public Schools","Metompkin Elementary",0,"Doctoral Degree"
"Accomack County Public Schools","Nandua High",41,"Bachelor's Degree"
"Accomack County Public Schools","Nandua High",53,"Master's Degree"
"Accomack County Public Schools","Nandua High",0,"Doctoral Degree"
"Accomack County Public Schools","Nandua Middle",45,"Bachelor's Degree"
"Accomack County Public Schools","Nandua Middle",55,"Master's Degree"
"Accomack County Public Schools","Nandua Middle",0,"Doctoral Degree"
"Accomack County Public Schools","Pungoteague Elementary",48,"Bachelor's Degree"
"Accomack County Public Schools","Pungoteague Elementary",48,"Master's Degree"
"Accomack County Public Schools","Pungoteague Elementary",3,"Doctoral Degree"
"Accomack County Public Schools","Tangier Combined",80,"Bachelor's Degree"
"Accomack County Public Schools","Tangier Combined",10,"Master's Degree"
"Accomack County Public Schools","Tangier Combined",10,"Doctoral Degree"
"Albemarle County Public Schools","Agnor-Hurt Elementary",48,"Bachelor's Degree"
"Albemarle County Public Schools","Agnor-Hurt Elementary",48,"Master's Degree"
"Albemarle County Public Schools","Agnor-Hurt Elementary",4,"Doctoral Degree"
"Albemarle County Public Schools","Albemarle High",29,"Bachelor's Degree"
"Albemarle County Public Schools","Albemarle High",68,"Master's Degree"
"Albemarle County Public Schools","Albemarle High",2,"Doctoral Degree"
"Albemarle County Public Schools","Baker-Butler Elem",38,"Bachelor's Degree"
"Albemarle County Public Schools","Baker-Butler Elem",60,"Master's Degree"
"Albemarle County Public Schools","Baker-Butler Elem",0,"Doctoral Degree"
"Albemarle County Public Schools","Broadus Wood Elementary",34,"Bachelor's Degree"
"Albemarle County Public Schools","Broadus Wood Elementary",59,"Master's Degree"
"Albemarle County Public Schools","Broadus Wood Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Brownsville Elementary",45,"Bachelor's Degree"
"Albemarle County Public Schools","Brownsville Elementary",52,"Master's Degree"
"Albemarle County Public Schools","Brownsville Elementary",2,"Doctoral Degree"
"Albemarle County Public Schools","Community Lab School",33,"Bachelor's Degree"
"Albemarle County Public Schools","Community Lab School",62,"Master's Degree"
"Albemarle County Public Schools","Community Lab School",5,"Doctoral Degree"
"Albemarle County Public Schools","Crozet Elementary",40,"Bachelor's Degree"
"Albemarle County Public Schools","Crozet Elementary",60,"Master's Degree"
"Albemarle County Public Schools","Crozet Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Hollymead Elementary",38,"Bachelor's Degree"
"Albemarle County Public Schools","Hollymead Elementary",62,"Master's Degree"
"Albemarle County Public Schools","Hollymead Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Jack Jouett Middle",33,"Bachelor's Degree"
"Albemarle County Public Schools","Jack Jouett Middle",65,"Master's Degree"
"Albemarle County Public Schools","Jack Jouett Middle",2,"Doctoral Degree"
"Albemarle County Public Schools","Jackson P. Burley Middle",27,"Bachelor's Degree"
"Albemarle County Public Schools","Jackson P. Burley Middle",68,"Master's Degree"
"Albemarle County Public Schools","Jackson P. Burley Middle",2,"Doctoral Degree"
"Albemarle County Public Schools","Joseph T. Henley Middle",37,"Bachelor's Degree"
"Albemarle County Public Schools","Joseph T. Henley Middle",62,"Master's Degree"
"Albemarle County Public Schools","Joseph T. Henley Middle",0,"Doctoral Degree"
"Albemarle County Public Schools","Lakeside Middle",43,"Bachelor's Degree"
"Albemarle County Public Schools","Lakeside Middle",54,"Master's Degree"
"Albemarle County Public Schools","Lakeside Middle",2,"Doctoral Degree"
"Albemarle County Public Schools","Leslie H. Walton Middle",36,"Bachelor's Degree"
"Albemarle County Public Schools","Leslie H. Walton Middle",60,"Master's Degree"
"Albemarle County Public Schools","Leslie H. Walton Middle",0,"Doctoral Degree"
"Albemarle County Public Schools","Mary Carr Greer Elementary",35,"Bachelor's Degree"
"Albemarle County Public Schools","Mary Carr Greer Elementary",63,"Master's Degree"
"Albemarle County Public Schools","Mary Carr Greer Elementary",2,"Doctoral Degree"
"Albemarle County Public Schools","Meriwether Lewis Elementary",33,"Bachelor's Degree"
"Albemarle County Public Schools","Meriwether Lewis Elementary",64,"Master's Degree"
"Albemarle County Public Schools","Meriwether Lewis Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Monticello High",39,"Bachelor's Degree"
"Albemarle County Public Schools","Monticello High",56,"Master's Degree"
"Albemarle County Public Schools","Monticello High",3,"Doctoral Degree"
"Albemarle County Public Schools","Mountain View Elementary",33,"Bachelor's Degree"
"Albemarle County Public Schools","Mountain View Elementary",60,"Master's Degree"
"Albemarle County Public Schools","Mountain View Elementary",1,"Doctoral Degree"
"Albemarle County Public Schools","Red Hill Elementary",42,"Bachelor's Degree"
"Albemarle County Public Schools","Red Hill Elementary",54,"Master's Degree"
"Albemarle County Public Schools","Red Hill Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Scottsville Elementary",54,"Bachelor's Degree"
"Albemarle County Public Schools","Scottsville Elementary",39,"Master's Degree"
"Albemarle County Public Schools","Scottsville Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Stone Robinson Elementary",29,"Bachelor's Degree"
"Albemarle County Public Schools","Stone Robinson Elementary",71,"Master's Degree"
"Albemarle County Public Schools","Stone Robinson Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Stony Point Elementary",35,"Bachelor's Degree"
"Albemarle County Public Schools","Stony Point Elementary",61,"Master's Degree"
"Albemarle County Public Schools","Stony Point Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Virginia L. Murray Elementary",41,"Bachelor's Degree"
"Albemarle County Public Schools","Virginia L. Murray Elementary",56,"Master's Degree"
"Albemarle County Public Schools","Virginia L. Murray Elementary",0,"Doctoral Degree"
"Albemarle County Public Schools","Western Albemarle High",34,"Bachelor's Degree"
"Albemarle County Public Schools","Western Albemarle High",62,"Master's Degree"
"Albemarle County Public Schools","Western Albemarle High",0,"Doctoral Degree"
"Albemarle County Public Schools","Woodbrook Elementary",29,"Bachelor's Degree"
"Albemarle County Public Schools","Woodbrook Elementary",64,"Master's Degree"
"Albemarle County Public Schools","Woodbrook Elementary",3,"Doctoral Degree"
"Alexandria City Public Schools","Alexandria City High",18,"Bachelor's Degree"
"Alexandria City Public Schools","Alexandria City High",75,"Master's Degree"
"Alexandria City Public Schools","Alexandria City High",2,"Doctoral Degree"
"Alexandria City Public Schools","Charles Barrett Elementary",19,"Bachelor's Degree"
"Alexandria City Public Schools","Charles Barrett Elementary",79,"Master's Degree"
"Alexandria City Public Schools","Charles Barrett Elementary",0,"Doctoral Degree"
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",26,"Bachelor's Degree"
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",71,"Master's Degree"
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",0,"Doctoral Degree"
"Alexandria City Public Schools","Douglas Macarthur Elementary",26,"Bachelor's Degree"
"Alexandria City Public Schools","Douglas Macarthur Elementary",68,"Master's Degree"
"Alexandria City Public Schools","Douglas Macarthur Elementary",2,"Doctoral Degree"
"Alexandria City Public Schools","Ferdinand T. Day Elementary",26,"Bachelor's Degree"
