"Division","School","Bachelor's Degree","Master's Degree","Doctoral Degree"
"Accomack County Public Schools","Accawmacke Elementary",47,50,0
"Accomack County Public Schools","Arcadia High",42,47,4
"Accomack County Public Schools","Arcadia Middle ",58,42,0
"Accomack County Public Schools","Chincoteague Elementary",70,25,5
"Accomack County Public Schools","Chincoteague High",55,45,0
"Accomack County Public Schools","Kegotank Elementary",63,35,0
"Accomack County Public Schools","Metompkin Elementary",51,49,0
"Accomack County Public Schools","Nandua High",41,53,0
"Accomack County Public Schools","Nandua Middle",45,55,0
"Accomack County Public Schools","Pungoteague Elementary",48,48,3
"Accomack County Public Schools","Tangier Combined",80,10,10
"Albemarle County Public Schools","Agnor-Hurt Elementary",48,48,4
"Albemarle County Public Schools","Albemarle High",29,68,2
"Albemarle County Public Schools","Baker-Butler Elem",38,60,0
"Albemarle County Public Schools","Broadus Wood Elementary",34,59,0
"Albemarle County Public Schools","Brownsville Elementary",45,52,2
"Albemarle County Public Schools","Community Lab School",33,62,5
"Albemarle County Public Schools","Crozet Elementary",40,60,0
"Albemarle County Public Schools","Hollymead Elementary",38,62,0
"Albemarle County Public Schools","Jack Jouett Middle",33,65,2
"Albemarle County Public Schools","Jackson P. Burley Middle",27,68,2
"Albemarle County Public Schools","Joseph T. Henley Middle",37,62,0
"Albemarle County Public Schools","Lakeside Middle",43,54,2
"Albemarle County Public Schools","Leslie H. Walton Middle",36,60,0
"Albemarle County Public Schools","Mary Carr Greer Elementary",35,63,2
"Albemarle County Public Schools","Meriwether Lewis Elementary",33,64,0
"Albemarle County Public Schools","Monticello High",39,56,3
"Albemarle County Public Schools","Mountain View Elementary",33,60,1
"Albemarle County Public Schools","Red Hill Elementary",42,54,0
"Albemarle County Public Schools","Scottsville Elementary",54,39,0
"Albemarle County Public Schools","Stone Robinson Elementary",29,71,0
"Albemarle County Public Schools","Stony Point Elementary",35,61,0
"Albemarle County Public Schools","Virginia L. Murray Elementary",41,56,0
"Albemarle County Public Schools","Western Albemarle High",34,62,0
"Albemarle County Public Schools","Woodbrook Elementary",29,64,3
"Alexandria City Public Schools","Alexandria City High",18,75,2
"Alexandria City Public Schools","Charles Barrett Elementary",19,79,0
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",26,71,0
"Alexandria City Public Schools","Douglas Macarthur Elementary",26,68,2
"Alexandria City Public Schools","Ferdinand T. Day Elementary",26,74,0
"Alexandria City Public Schools","Francis C. Hammond Middle",21,75,3
"Alexandria City Public Schools","George Mason Elementary",17,81,3
"Alexandria City Public Schools","George Washington Middle",23,75,1
"Alexandria City Public Schools","James K. Polk Elementary",22,77,0
"Alexandria City Public Schools","Jefferson-Houston PK-8 School",29,65,2
"Alexandria City Public Schools","John Adams Elementary",18,79,3
"Alexandria City Public Schools","Lyles-Crouch Elementary",16,74,11
"Alexandria City Public Schools","Mount Vernon Elementary",35,63,0
"Alexandria City Public Schools","Naomi L. Brooks Elementary",23,77,0
