"Division","School","Title1.Code","Percent.of.Inexperienced.Teachers","Percent.of.Out.of.Field.Teachers"
"Accomack County Public Schools","Accawmacke Elementary","Title I",3,3
"Accomack County Public Schools","Arcadia High","Non-Title I",4,10
"Accomack County Public Schools","Arcadia Middle ","Title I",12.8,7.7
"Accomack County Public Schools","Chincoteague Elementary","Non-Title I",5.3,5.3
"Accomack County Public Schools","Chincoteague High","Non-Title I",6.7,6.7
"Accomack County Public Schools","Kegotank Elementary","Title I",15.6,6.3
"Accomack County Public Schools","Metompkin Elementary","Title I",13.2,10.5
"Accomack County Public Schools","Nandua High","Non-Title I",8,8
"Accomack County Public Schools","Nandua Middle","Title I",5,7.5
"Accomack County Public Schools","Pungoteague Elementary","Title I",3.4,3.4
"Accomack County Public Schools","Tangier Combined","Non-Title I",0,0
"Albemarle County Public Schools","Agnor-Hurt Elementary","Title I",4.3,0
"Albemarle County Public Schools","Albemarle High","Non-Title I",2.3,12.8
"Albemarle County Public Schools","Baker-Butler Elem","Non-Title I",6.8,1.7
"Albemarle County Public Schools","Broadus Wood Elementary","Non-Title I",4.2,0
"Albemarle County Public Schools","Brownsville Elementary","Non-Title I",4.9,0
"Albemarle County Public Schools","Community Lab School","Non-Title I",0,11.1
"Albemarle County Public Schools","Crozet Elementary","Non-Title I",0,0
"Albemarle County Public Schools","Hollymead Elementary","Non-Title I",0,0
"Albemarle County Public Schools","Jack Jouett Middle","Non-Title I",2.8,4.2
"Albemarle County Public Schools","Jackson P. Burley Middle","Non-Title I",3.2,3.2
"Albemarle County Public Schools","Joseph T. Henley Middle","Non-Title I",0,12.5
"Albemarle County Public Schools","Lakeside Middle","Non-Title I",2,0
"Albemarle County Public Schools","Leslie H. Walton Middle","Non-Title I",0,2.4
"Albemarle County Public Schools","Mary Carr Greer Elementary","Title I",0,1.7
"Albemarle County Public Schools","Meriwether Lewis Elementary","Non-Title I",3.6,0
"Albemarle County Public Schools","Monticello High","Non-Title I",0,4.6
"Albemarle County Public Schools","Mountain View Elementary","Title I",1.4,9.5
"Albemarle County Public Schools","Red Hill Elementary","Title I",4.5,4.5
"Albemarle County Public Schools","Scottsville Elementary","Title I",4.5,4.5
"Albemarle County Public Schools","Stone Robinson Elementary","Non-Title I",6.8,2.3
"Albemarle County Public Schools","Stony Point Elementary","Non-Title I",0,0
"Albemarle County Public Schools","Virginia L. Murray Elementary","Non-Title I",0,4
"Albemarle County Public Schools","Western Albemarle High","Non-Title I",2.1,3.2
"Albemarle County Public Schools","Woodbrook Elementary","Title I",4.9,1.6
"Alexandria City Public Schools","Alexandria City High","Non-Title I",2.6,3.3
"Alexandria City Public Schools","Charles Barrett Elementary","Non-Title I",0,0
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology","Title I",0,0
"Alexandria City Public Schools","Douglas Macarthur Elementary","Non-Title I",0,0
"Alexandria City Public Schools","Ferdinand T. Day Elementary","Title I",9.7,3.2
"Alexandria City Public Schools","Francis C. Hammond Middle","Title I",4,7.1
"Alexandria City Public Schools","George Mason Elementary","Non-Title I",0,3.3
"Alexandria City Public Schools","George Washington Middle","Non-Title I",0.9,4.5
"Alexandria City Public Schools","James K. Polk Elementary","Title I",1.7,0
"Alexandria City Public Schools","Jefferson-Houston PK-8 School","Title I",3.7,1.9
"Alexandria City Public Schools","John Adams Elementary","Title I",0,6.4
"Alexandria City Public Schools","Lyles-Crouch Elementary","Non-Title I",0,0
"Alexandria City Public Schools","Mount Vernon Elementary","Non-Title I",2,0
"Alexandria City Public Schools","Naomi L. Brooks Elementary","Non-Title I",4.2,4.2
"Alexandria City Public Schools","Patrick Henry K-8 School","Title I",5.2,1.7
"Alexandria City Public Schools","Samuel W. Tucker Elementary","Non-Title I",0,0
"Alexandria City Public Schools","William Ramsay Elementary","Title I",9.8,0
"Alleghany County Public Schools","Alleghany High","Non-Title I",8,10
"Alleghany County Public Schools","Callaghan Elementary","Title I",0,0
"Alleghany County Public Schools","Clifton Middle","Non-Title I",2.3,4.5
"Alleghany County Public Schools","Mountain View Elementary","Title I",4.9,2.4
"Alleghany County Public Schools","Sharon Elementary","Title I",0,4.8
"Amelia County Public Schools","Amelia County Elementary","Title I",0,1.9
"Amelia County Public Schools","Amelia County High","Non-Title I",4.8,7.1
"Amelia County Public Schools","Amelia County Middle","Non-Title I",2.8,2.8
"Amherst County Public Schools","Amelon Elementary","Title I",2.9,0
"Amherst County Public Schools","Amherst County High","Non-Title I",5.7,6.9
"Amherst County Public Schools","Amherst Elementary","Title I",0,0
"Amherst County Public Schools","Amherst Middle","Non-Title I",3.1,6.3
"Amherst County Public Schools","Central Elementary","Title I",2.9,5.9
"Amherst County Public Schools","Elon Elementary","Title I",0,0
"Amherst County Public Schools","Madison Heights Elementary","Title I",2.9,0
"Amherst County Public Schools","Monelison Middle","Non-Title I",0,15.4
"Amherst County Public Schools","Temperance Elementary","Title I",5.6,0
"Appomattox County Public Schools","Appomattox County High","Non-Title I",5.1,25.4
"Appomattox County Public Schools","Appomattox Elementary","Title I",2.4,4.8
"Appomattox County Public Schools","Appomattox Middle","Non-Title I",7.1,9.5
"Appomattox County Public Schools","Appomattox Primary","Title I",4.5,2.3
"Arlington County Public Schools","Abingdon Elementary","Title I",6,0
"Arlington County Public Schools","Alice West Fleet Elementary","Non-Title I",12.1,1.7
"Arlington County Public Schools","Arlington Community High","Non-Title I",0,0
"Arlington County Public Schools","Arlington Traditional","Non-Title I",2.4,0
"Arlington County Public Schools","Ashlawn Elementary","Non-Title I",3.4,0
"Arlington County Public Schools","Barcroft Elementary","Title I",4.9,0
"Arlington County Public Schools","Barrett Elementary","Title I",8.8,0
"Arlington County Public Schools","Campbell Elementary","Title I",2.4,2.4
"Arlington County Public Schools","Cardinal Elementary","Non-Title I",0,2
"Arlington County Public Schools","Carlin Springs Elementary","Title I",3.4,0
"Arlington County Public Schools","Claremont Immersion","Non-Title I",7.5,7.5
"Arlington County Public Schools","Discovery Elementary","Non-Title I",2.3,0
"Arlington County Public Schools","Dorothy Hamm Middle","Non-Title I",9.5,2.4
"Arlington County Public Schools","Dr. Charles R. Drew Elementary","Title I",4.1,0
"Arlington County Public Schools","Escuela Key Elementary","Non-Title I",5.6,0
"Arlington County Public Schools","Glebe Elementary","Non-Title I",4.4,2.2
"Arlington County Public Schools","Gunston Middle","Non-Title I",6.8,3.9
"Arlington County Public Schools","Hoffman-Boston Elementary","Title I",1.8,1.8
"Arlington County Public Schools","Innovation Elementary ","Non-Title I",8.6,1.7
"Arlington County Public Schools","Jamestown Elementary","Non-Title I",2.3,0
"Arlington County Public Schools","Jefferson Middle","Non-Title I",2,1
"Arlington County Public Schools","Kenmore Middle","Non-Title I",4.7,0.9
"Arlington County Public Schools","Long Branch Elementary","Non-Title I",3.9,0
"Arlington County Public Schools","Montessori Public School of Arlington","Non-Title I",0,0
"Arlington County Public Schools","Nottingham Elementary","Non-Title I",8.1,0
"Arlington County Public Schools","Oakridge Elementary","Non-Title I",9.5,2.4
"Arlington County Public Schools","Randolph Elementary","Title I",9.1,2.3
"Arlington County Public Schools","Swanson Middle","Non-Title I",4.5,0
"Arlington County Public Schools","Taylor Elementary","Non-Title I",8.2,0
"Arlington County Public Schools","Tuckahoe Elementary","Non-Title I",4.8,2.4
"Arlington County Public Schools","Wakefield High","Non-Title I",2.3,0
"Arlington County Public Schools","Washington-Liberty High","Non-Title I",5.5,0
"Arlington County Public Schools","Williamsburg Middle","Non-Title I",4.8,0
"Arlington County Public Schools","Yorktown High","Non-Title I",3,0.6
"Augusta County Public Schools","Beverley Manor Middle","Non-Title I",1.6,0
"Augusta County Public Schools","Buffalo Gap High","Non-Title I",8.7,2.2
"Augusta County Public Schools","Cassell Elementary","Title I",0,0
"Augusta County Public Schools","Churchville Elementary","Title I",10.3,3.4
"Augusta County Public Schools","Craigsville Elementary","Title I",5.3,0
"Augusta County Public Schools","Edward G. Clymore Elementary","Title I",7.5,3.8
"Augusta County Public Schools","Fort Defiance High","Non-Title I",1.5,1.5
"Augusta County Public Schools","Guy K. Stump Elementary","Title I",0,3.1
"Augusta County Public Schools","North River Elementary","Title I",0,0
"Augusta County Public Schools","Riverheads Elementary","Title I",6.3,0
"Augusta County Public Schools","Riverheads High","Non-Title I",0,2.3
"Augusta County Public Schools","S. Gordon Stewart Middle","Non-Title I",2,2
"Augusta County Public Schools","Stuarts Draft Elementary","Title I",0,0
"Augusta County Public Schools","Stuarts Draft High","Non-Title I",3.1,3.1
"Augusta County Public Schools","Stuarts Draft Middle","Non-Title I",0,2.3
"Augusta County Public Schools","Wilson Elementary","Title I",6.1,0
"Augusta County Public Schools","Wilson Memorial High","Non-Title I",4.3,1.4
"Augusta County Public Schools","Wilson Middle","Non-Title I",17.9,8.9
"Bath County Public Schools","Bath County High","Non-Title I",7.7,0
"Bath County Public Schools","Millboro Elementary","Title I",0,5.6
"Bath County Public Schools","Valley Elementary","Title I",0,4.2
"Bedford County Public Schools","Bedford Elementary","Title I",0,6.8
"Bedford County Public Schools","Bedford Primary","Title I",11.1,3.7
"Bedford County Public Schools","Big Island Elementary","Title I",0,3
"Bedford County Public Schools","Boonsboro Elementary","Non-Title I",6.5,6.5
"Bedford County Public Schools","Forest Elementary","Non-Title I",0,2.3
"Bedford County Public Schools","Forest Middle","Non-Title I",4.1,2.7
"Bedford County Public Schools","Goodview Elementary","Title I",4.3,6.5
"Bedford County Public Schools","Huddleston Elementary","Title I",2.2,4.4
"Bedford County Public Schools","Jefferson Forest High","Non-Title I",4.1,6.1
"Bedford County Public Schools","Liberty High","Non-Title I",9.7,5.3
"Bedford County Public Schools","Liberty Middle","Non-Title I",6.2,6.2
"Bedford County Public Schools","Moneta Elementary","Title I",2.4,2.4
"Bedford County Public Schools","Montvale Elementary","Title I",2.2,4.4
"Bedford County Public Schools","New London Academy Elementary","Non-Title I",5.7,2.9
"Bedford County Public Schools","Otter River Elementary","Non-Title I",6.5,9.7
"Bedford County Public Schools","Staunton River High","Non-Title I",22,5.9
"Bedford County Public Schools","Staunton River Middle","Non-Title I",5.3,0
"Bedford County Public Schools","Stewartsville Elementary","Title I",2.1,2.1
"Bedford County Public Schools","Thomas Jefferson Elementary","Non-Title I",1.9,5.8
"Bland County Public Schools","Bland County Elementary ","Title I",3.2,0
"Bland County Public Schools","Bland County High","Non-Title I",6.7,6.7
"Botetourt County Public Schools","Breckinridge Elementary","Title I",0,0
"Botetourt County Public Schools","Buchanan Elementary","Title I",3.7,0
"Botetourt County Public Schools","Central Academy Middle","Non-Title I",0,0
"Botetourt County Public Schools","Cloverdale Elementary","Non-Title I",0,0
"Botetourt County Public Schools","Colonial Elementary","Non-Title I",0,0
"Botetourt County Public Schools","Eagle Rock Elementary","Title I",0,0
"Botetourt County Public Schools","Greenfield Elementary","Title I",0,2.9
"Botetourt County Public Schools","James River High","Non-Title I",0,2.4
"Botetourt County Public Schools","Lord Botetourt High","Non-Title I",0,0
