"Division","School","Provisional.Percent"
"Accomack County Public Schools","Accawmacke Elementary",0
"Accomack County Public Schools","Arcadia High",16
"Accomack County Public Schools","Arcadia Middle ",7.7
"Accomack County Public Schools","Chincoteague Elementary",0
"Accomack County Public Schools","Chincoteague High",10
"Accomack County Public Schools","Kegotank Elementary",3.1
"Accomack County Public Schools","Metompkin Elementary",15.8
"Accomack County Public Schools","Nandua High",8
"Accomack County Public Schools","Nandua Middle",0
"Accomack County Public Schools","Pungoteague Elementary",3.4
"Accomack County Public Schools","Tangier Combined",0
"Albemarle County Public Schools","Agnor-Hurt Elementary",0
"Albemarle County Public Schools","Albemarle High",4.1
"Albemarle County Public Schools","Baker-Butler Elem",0
"Albemarle County Public Schools","Broadus Wood Elementary",4.2
"Albemarle County Public Schools","Brownsville Elementary",0
"Albemarle County Public Schools","Community Lab School",7.4
"Albemarle County Public Schools","Crozet Elementary",0
"Albemarle County Public Schools","Hollymead Elementary",0
"Albemarle County Public Schools","Jack Jouett Middle",0
"Albemarle County Public Schools","Jackson P. Burley Middle",4.8
"Albemarle County Public Schools","Joseph T. Henley Middle",5.6
"Albemarle County Public Schools","Lakeside Middle",2
"Albemarle County Public Schools","Leslie H. Walton Middle",12.2
"Albemarle County Public Schools","Mary Carr Greer Elementary",1.7
"Albemarle County Public Schools","Meriwether Lewis Elementary",0
"Albemarle County Public Schools","Monticello High",6.4
"Albemarle County Public Schools","Mountain View Elementary",2.7
"Albemarle County Public Schools","Red Hill Elementary",4.5
"Albemarle County Public Schools","Scottsville Elementary",4.5
"Albemarle County Public Schools","Stone Robinson Elementary",2.3
"Albemarle County Public Schools","Stony Point Elementary",0
"Albemarle County Public Schools","Virginia L. Murray Elementary",0
"Albemarle County Public Schools","Western Albemarle High",4.3
"Albemarle County Public Schools","Woodbrook Elementary",1.6
"Alexandria City Public Schools","Alexandria City High",7.8
"Alexandria City Public Schools","Charles Barrett Elementary",4.7
"Alexandria City Public Schools","Cora Kelly School for Math Science and Technology",0
"Alexandria City Public Schools","Douglas Macarthur Elementary",0
"Alexandria City Public Schools","Ferdinand T. Day Elementary",0
"Alexandria City Public Schools","Francis C. Hammond Middle",5.6
"Alexandria City Public Schools","George Mason Elementary",0
"Alexandria City Public Schools","George Washington Middle",4.5
"Alexandria City Public Schools","James K. Polk Elementary",6.7
"Alexandria City Public Schools","Jefferson-Houston PK-8 School",14.8
"Alexandria City Public Schools","John Adams Elementary",4.3
"Alexandria City Public Schools","Lyles-Crouch Elementary",3
"Alexandria City Public Schools","Mount Vernon Elementary",8
"Alexandria City Public Schools","Naomi L. Brooks Elementary",4.2
"Alexandria City Public Schools","Patrick Henry K-8 School",1.7
"Alexandria City Public Schools","Samuel W. Tucker Elementary",5.4
"Alexandria City Public Schools","William Ramsay Elementary",4.9
"Alleghany County Public Schools","Alleghany High",10
"Alleghany County Public Schools","Callaghan Elementary",4.8
"Alleghany County Public Schools","Clifton Middle",9.1
"Alleghany County Public Schools","Mountain View Elementary",9.8
"Alleghany County Public Schools","Sharon Elementary",4.8
"Amelia County Public Schools","Amelia County Elementary",0
"Amelia County Public Schools","Amelia County High",16.7
"Amelia County Public Schools","Amelia County Middle",11.1
"Amherst County Public Schools","Amelon Elementary",2.9
"Amherst County Public Schools","Amherst County High",3.4
"Amherst County Public Schools","Amherst Elementary",0
"Amherst County Public Schools","Amherst Middle",3.1
"Amherst County Public Schools","Central Elementary",2.9
"Amherst County Public Schools","Elon Elementary",3.6
"Amherst County Public Schools","Madison Heights Elementary",2.9
"Amherst County Public Schools","Monelison Middle",5.1
"Amherst County Public Schools","Temperance Elementary",0
"Appomattox County Public Schools","Appomattox County High",3.4
"Appomattox County Public Schools","Appomattox Elementary",0
"Appomattox County Public Schools","Appomattox Middle",11.9
"Appomattox County Public Schools","Appomattox Primary",4.5
"Arlington County Public Schools","Abingdon Elementary",6
"Arlington County Public Schools","Alice West Fleet Elementary",10.3
"Arlington County Public Schools","Arlington Community High",0
"Arlington County Public Schools","Arlington Traditional",2.4
"Arlington County Public Schools","Ashlawn Elementary",3.4
"Arlington County Public Schools","Barcroft Elementary",2.4
"Arlington County Public Schools","Barrett Elementary",5.3
"Arlington County Public Schools","Campbell Elementary",0
"Arlington County Public Schools","Cardinal Elementary",0
"Arlington County Public Schools","Carlin Springs Elementary",6.9
"Arlington County Public Schools","Claremont Immersion",13.2
"Arlington County Public Schools","Discovery Elementary",2.3
"Arlington County Public Schools","Dorothy Hamm Middle",9.5
"Arlington County Public Schools","Dr. Charles R. Drew Elementary",6.1
"Arlington County Public Schools","Escuela Key Elementary",5.6
"Arlington County Public Schools","Glebe Elementary",4.4
"Arlington County Public Schools","Gunston Middle",9.7
"Arlington County Public Schools","Hoffman-Boston Elementary",7.3
"Arlington County Public Schools","Innovation Elementary ",1.7
"Arlington County Public Schools","Jamestown Elementary",2.3
"Arlington County Public Schools","Jefferson Middle",4
"Arlington County Public Schools","Kenmore Middle",6.6
"Arlington County Public Schools","Long Branch Elementary",3.9
"Arlington County Public Schools","Montessori Public School of Arlington",6.3
"Arlington County Public Schools","Nottingham Elementary",8.1
"Arlington County Public Schools","Oakridge Elementary",0
"Arlington County Public Schools","Randolph Elementary",4.5
"Arlington County Public Schools","Swanson Middle",2.2
"Arlington County Public Schools","Taylor Elementary",2
"Arlington County Public Schools","Tuckahoe Elementary",2.4
"Arlington County Public Schools","Wakefield High",5.2
"Arlington County Public Schools","Washington-Liberty High",3
"Arlington County Public Schools","Williamsburg Middle",0
"Arlington County Public Schools","Yorktown High",4.8
"Augusta County Public Schools","Beverley Manor Middle",3.2
"Augusta County Public Schools","Buffalo Gap High",15.2
"Augusta County Public Schools","Cassell Elementary",0
"Augusta County Public Schools","Churchville Elementary",0
"Augusta County Public Schools","Craigsville Elementary",10.5
"Augusta County Public Schools","Edward G. Clymore Elementary",1.9
"Augusta County Public Schools","Fort Defiance High",5.9
"Augusta County Public Schools","Guy K. Stump Elementary",0
"Augusta County Public Schools","North River Elementary",3.8
"Augusta County Public Schools","Riverheads Elementary",2.1
"Augusta County Public Schools","Riverheads High",2.3
"Augusta County Public Schools","S. Gordon Stewart Middle",3.9
"Augusta County Public Schools","Stuarts Draft Elementary",2.3
"Augusta County Public Schools","Stuarts Draft High",6.2
"Augusta County Public Schools","Stuarts Draft Middle",4.5
"Augusta County Public Schools","Wilson Elementary",4.1
"Augusta County Public Schools","Wilson Memorial High",7.2
"Augusta County Public Schools","Wilson Middle",12.5
"Bath County Public Schools","Bath County High",19.2
"Bath County Public Schools","Millboro Elementary",11.1
"Bath County Public Schools","Valley Elementary",8.3
"Bedford County Public Schools","Bedford Elementary",4.5
"Bedford County Public Schools","Bedford Primary",3.7
"Bedford County Public Schools","Big Island Elementary",3
"Bedford County Public Schools","Boonsboro Elementary",4.3
"Bedford County Public Schools","Forest Elementary",0
"Bedford County Public Schools","Forest Middle",1.4
"Bedford County Public Schools","Goodview Elementary",0
"Bedford County Public Schools","Huddleston Elementary",2.2
"Bedford County Public Schools","Jefferson Forest High",5.4
"Bedford County Public Schools","Liberty High",8
"Bedford County Public Schools","Liberty Middle",3.1
"Bedford County Public Schools","Moneta Elementary",0
"Bedford County Public Schools","Montvale Elementary",0
"Bedford County Public Schools","New London Academy Elementary",2.9
"Bedford County Public Schools","Otter River Elementary",3.2
"Bedford County Public Schools","Staunton River High",10.2
"Bedford County Public Schools","Staunton River Middle",1.8
"Bedford County Public Schools","Stewartsville Elementary",2.1
"Bedford County Public Schools","Thomas Jefferson Elementary",3.8
"Bland County Public Schools","Bland County Elementary ",9.7
"Bland County Public Schools","Bland County High",16.7
"Botetourt County Public Schools","Breckinridge Elementary",0
"Botetourt County Public Schools","Buchanan Elementary",7.4
"Botetourt County Public Schools","Central Academy Middle",5.4
"Botetourt County Public Schools","Cloverdale Elementary",0
"Botetourt County Public Schools","Colonial Elementary",0
"Botetourt County Public Schools","Eagle Rock Elementary",0
"Botetourt County Public Schools","Greenfield Elementary",2.9
"Botetourt County Public Schools","James River High",2.4
"Botetourt County Public Schools","Lord Botetourt High",3.9
"Botetourt County Public Schools","Read Mountain Middle",1.8
"Botetourt County Public Schools","Troutville Elementary",0
"Bristol City Public Schools","Highland View Elementary",5.3
"Bristol City Public Schools","Joseph Van Pelt Elementary",6.3
"Bristol City Public Schools","Stonewall Jackson Elementary",0
"Bristol City Public Schools","Virginia High",7.4
"Bristol City Public Schools","Virginia Middle",2.5
"Bristol City Public Schools","Washington-Lee Elementary",5.6
"Brunswick County Public Schools","Brunswick High",17.1
"Brunswick County Public Schools","James S. Russell Middle",21.9
"Brunswick County Public Schools","Meherrin Powellton Elementary",11.8
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary",17.6
"Brunswick County Public Schools","Totaro Elementary",0
"Buchanan County Public Schools","Council Elementary/Middle",13.6
"Buchanan County Public Schools","Council High ",5.6
"Buchanan County Public Schools","Grundy High",6.3
"Buchanan County Public Schools","Hurley Elementary/Middle",5.1
"Buchanan County Public Schools","Hurley High",5
"Buchanan County Public Schools","Riverview Elementary/Middle",14.3
"Buchanan County Public Schools","Twin Valley Elementary/Middle",9.7
"Buchanan County Public Schools","Twin Valley High",15.8
"Buckingham County Public Schools","Buckingham Co Elementary",0
"Buckingham County Public Schools","Buckingham Co Primary",6.3
"Buckingham County Public Schools","Buckingham County High",4.3
"Buckingham County Public Schools","Buckingham County Middle",5.4
"Buena Vista City Public Schools","Enderly Heights Elementary",7.1
"Buena Vista City Public Schools","F.W. Kling Jr. Elementary",11.8
"Buena Vista City Public Schools","Parry McCluer High",3.7
"Buena Vista City Public Schools","Parry McCluer Middle",0
"Campbell County Public Schools","Altavista Elementary",0
"Campbell County Public Schools","Altavista High",10.7
"Campbell County Public Schools","Brookneal Elementary",0
"Campbell County Public Schools","Brookville High",6.9
"Campbell County Public Schools","Brookville Middle",5.7
"Campbell County Public Schools","Concord Elementary",3.3
"Campbell County Public Schools","Leesville Road Elementary",0
"Campbell County Public Schools","Rustburg Elementary",7.1
"Campbell County Public Schools","Rustburg High",4.8
"Campbell County Public Schools","Rustburg Middle",8
"Campbell County Public Schools","Tomahawk Elementary",3
"Campbell County Public Schools","William Campbell High",2.2
"Campbell County Public Schools","Yellow Branch Elementary",3.2
"Caroline County Public Schools","Bowling Green Elementary",9.3
"Caroline County Public Schools","Caroline High",1.5
"Caroline County Public Schools","Caroline Middle",10.2
"Caroline County Public Schools","Lewis and Clark Elementary",2.1
"Caroline County Public Schools","Madison Elementary",3.6
"Carroll County Public Schools","Carroll County High",2.4
"Carroll County Public Schools","Carroll County Middle",1.4
"Carroll County Public Schools","Fancy Gap Elementary",0
"Carroll County Public Schools","Gladesboro Elementary",0
"Carroll County Public Schools","Gladeville Elementary",0
"Carroll County Public Schools","Hillsville Elementary",0
"Carroll County Public Schools","Laurel Elementary",5.9
"Carroll County Public Schools","Oakland Elementary",0
"Carroll County Public Schools","St. Paul",0
"Charles City County Public Schools","Charles City County Elementary",4
"Charles City County Public Schools","Charles City County High",6.5
"Charlotte County Public Schools","Bacon District Elementary",13.3
"Charlotte County Public Schools","Central Middle",8.8
"Charlotte County Public Schools","Eureka Elementary",3.4
"Charlotte County Public Schools","Phenix Elementary",5.9
"Charlotte County Public Schools","Randolph-Henry High",17.1
"Charlottesville City Public Schools","Buford Middle",7
"Charlottesville City Public Schools","Burnley-Moran Elementary",5.9
